,,,,Labels (version 1999 except in italics = version 1995),,,,NUTS ,Sorting order ,,
827,FR61,FR61,,,Aquitaine,,,2,6,800,798
828,FR611,FR611,,,,Dordogne,,3,6,801,799
829,FR612,FR612,,,,Gironde ,,3,6,802,800
830,FR613,FR613,,,,Landes ,,3,6,803,801
831,FR614,FR614,,,,Lot-et-Garonne,,3,6,804,802
832,FR615,FR615,,,,Pyrénées-Atlantiques,,3,6,805,803
833,FR62,FR62,,,Midi-Pyrénées,,,2,6,806,804
834,FR621,FR621,,,,Ariège ,,3,6,807,805
835,FR622,FR622,,,,Aveyron ,,3,6,808,806
836,FR623,FR623,,,,Haute-Garonne ,,3,6,809,807
837,FR624,FR624,,,,Gers ,,3,6,810,808
838,FR625,FR625,,,,Lot,,3,6,811,809
839,FR626,FR626,,,,Hautes-Pyrénées ,,3,6,812,810
840,FR627,FR627,,,,Tarn ,,3,6,813,811
841,FR628,FR628,,,,Tarn-et-Garonne ,,3,6,814,812
842,FR63,FR63,,,Limousin ,,,2,6,815,813
843,FR631,FR631,,,,Corrèze,,3,6,816,814
844,FR632,FR632,,,,Creuse ,,3,6,817,815
845,FR633,FR633,,,,Haute-Vienne ,,3,6,818,816
846,FR7,FR7,,CENTRE-EST ,,,,1,6,819,817
847,FR71,FR71,,,Rhône-Alpes ,,,2,6,820,818
848,FR711,FR711,,,,Ain ,,3,6,821,819
849,FR712,FR712,,,,Ardèche ,,3,6,822,820
850,FR713,FR713,,,,Drôme ,,3,6,823,821
851,FR714,FR714,,,,Isère ,,3,6,824,822
852,FR715,FR715,,,,Loire ,,3,6,825,823
853,FR716,FR716,,,,Rhône ,,3,6,826,824
854,FR717,FR717,,,,Savoie ,,3,6,827,825
855,FR718,FR718,,,,Haute-Savoie ,,3,6,828,826
856,FR72,FR72,,,Auvergne,,,2,6,829,827
857,FR721,FR721,,,,Allier ,,3,6,830,828
858,FR722,FR722,,,,Cantal ,,3,6,831,829
859,FR723,FR723,,,,Haute-Loire,,3,6,832,830
860,FR724,FR724,,,,Puy-de-Dôme ,,3,6,833,831
861,FR8,FR8,,MÉDITERRANÉE ,,,,1,6,834,832
862,FR81,FR81,,,Languedoc-Roussillon ,,,2,6,835,833
863,FR811,FR811,,,,Aude ,,3,6,836,834
864,FR812,FR812,,,,Gard ,,3,6,837,835
865,FR813,FR813,,,,Hérault ,,3,6,838,836
866,FR814,FR814,,,,Lozère ,,3,6,839,837
867,FR815,FR815,,,,Pyrénées-Orientales ,,3,6,840,838
868,FR82,FR82,,,Provence-Alpes-Côte d'Azur ,,,2,6,841,839
869,FR821,FR821,,,,Alpes-de-Haute-Provence,,3,6,842,840
870,FR822,FR822,,,,Hautes-Alpes ,,3,6,843,841
871,FR823,FR823,,,,Alpes-Maritimes ,,3,6,844,842
872,FR824,FR824,,,,Bouches-du-Rhône,,3,6,845,843
873,FR825,FR825,,,,Var ,,3,6,846,844
874,FR826,FR826,,,,Vaucluse,,3,6,847,845
875,FR83,FR83,,,Corse,,,2,6,848,846
876,FR831,FR831,,,,Corse-du-Sud,,3,6,849,847
877,FR832,FR832,,,,Haute-Corse,,3,6,850,848
878,FR9,FR9,,DÉPARTEMENTS D'OUTRE-MER,,,,1,6,851,849
879,FR91,FR91,,,Guadeloupe ,,,2,6,852,850
880,FR91,FR91,,,,Guadeloupe,,3,6,853,851
881,FR92,FR92,,,Martinique ,,,2,6,854,852
882,FR92,FR92,,,,Martinique,,3,6,855,853
883,FR93,FR93,,,Guyane,,,2,6,856,854
884,FR93,FR93,,,,Guyane,,3,6,857,855
885,FR94,FR94,,,Réunion,,,2,6,858,856
886,FR94,FR94,,,,Réunion,,3,6,859,857
887,IE,IE,IRELAND,,,,,0,7,860,858
888,IE,IE,,IRELAND,,,,1,7,861,859
889,IE, ,,,Ireland,,Split,2,7,862,
890,IE (part),IE01,,,"Border, Midland and Western",,New region,2,7,,860
891,IE001,IE011,,,,Border,Code change,3,7,863,861
892,IE004,IE012,,,,Midland,Code change,3,7,866,862
893,IE008,IE013,,,,West,Code change,3,7,870,863
894,IE (part),IE02,,,Southern and Eastern,,New region,2,7,,864
895,IE002,IE021,,,,Dublin,Code change,3,7,864,865
896,IE003,IE022,,,,Mid-East,Code change,3,7,865,866
897,IE005,IE023,,,,Mid-West,Code change,3,7,867,867
898,IE006,IE024,,,,South-East (IRL),Code change,3,7,868,868
899,IE007,IE025,,,,South-West (IRL),Code change,3,7,869,869
900,IT,IT,ITALIA ,,,,,0,8,871,870
901,IT1,IT1,,NORD-OVEST ,,,,1,8,872,871
902,IT11,IT11,,,Piemonte,,,2,8,873,872
903,IT111,IT111,,,,Torino,,3,8,874,873
904,IT112,IT112,,,,Vercelli,,3,8,875,874
905,IT113,IT113,,,,Biella,,3,8,876,875
906,IT114,IT114,,,,Verbano-Cusio-Ossola,,3,8,877,876
907,IT115,IT115,,,,Novara ,,3,8,878,877
908,IT116,IT116,,,,Cuneo,,3,8,879,878
909,IT117,IT117,,,,Asti ,,3,8,880,879
910,IT118,IT118,,,,Alessandria ,,3,8,881,880
911,IT12,IT12,,,Valle d'Aosta/Vallée d'Aoste,,,2,8,882,881
912,IT120,IT120,,,,Valle d'Aosta/Vallée d'Aoste,,3,8,883,882
913,IT13,IT13,,,Liguria ,,,2,8,884,883
914,IT131,IT131,,,,Imperia ,,3,8,885,884
915,IT132,IT132,,,,Savona ,,3,8,886,885
916,IT133,IT133,,,,Genova ,,3,8,887,886
917,IT134,IT134,,,,La Spezia ,,3,8,888,887
918,IT2,IT2,,LOMBARDIA,,,,1,8,889,888
919,IT2,IT2,,,Lombardia,,,2,8,890,889
920,IT201,IT201,,,,Varese,,3,8,891,890
921,IT202,IT202,,,,Como ,,3,8,892,891
922,IT203,IT203,,,,Lecco,,3,8,893,892
923,IT204,IT204,,,,Sondrio ,,3,8,894,893
924,IT205,IT205,,,,Milano ,,3,8,895,894
925,IT206,IT206,,,,Bergamo ,,3,8,896,895
926,IT207,IT207,,,,Brescia,,3,8,897,896
927,IT208,IT208,,,,Pavia ,,3,8,898,897
928,IT209,IT209,,,,Lodi,,3,8,899,898
929,IT20A,IT20A,,,,Cremona,,3,8,900,899
930,IT20B,IT20B,,,,Mantova ,,3,8,901,900
931,IT3,IT3,,NORD-EST ,,,,1,8,902,901
932,IT31,IT31,,,Trentino-Alto Adige,,,2,8,903,902
933,IT311,IT311,,,,Bolzano-Bozen,,3,8,904,903
934,IT312,IT312,,,,Trento,,3,8,905,904
935,IT32,IT32,,,Veneto,,,2,8,906,905
936,IT321,IT321,,,,Verona ,,3,8,907,906
937,IT322,IT322,,,,Vicenza ,,3,8,908,907
938,IT323,IT323,,,,Belluno ,,3,8,909,908
939,IT324,IT324,,,,Treviso,,3,8,910,909
940,IT325,IT325,,,,Venezia,,3,8,911,910
941,IT326,IT326,,,,Padova ,,3,8,912,911
942,IT327,IT327,,,,Rovigo,,3,8,913,912
943,IT33,IT33,,,Friuli-Venezia Giulia ,,,2,8,914,913
944,IT331,IT331,,,,Pordenone ,,3,8,915,914
945,IT332,IT332,,,,Udine,,3,8,916,915
946,IT333,IT333,,,,Gorizia,,3,8,917,916
947,IT334,IT334,,,,Trieste ,,3,8,918,917
948,IT4,IT4,,EMILIA-ROMAGNA,,,,1,8,919,918
949,IT4,IT4,,,Emilia-Romagna,,,2,8,920,919
950,IT401,IT401,,,,Piacenza ,,3,8,921,920
951,IT402,IT402,,,,Parma ,,3,8,922,921
952,IT403,IT403,,,,Reggio nell'Emilia ,,3,8,923,922
953,IT404,IT404,,,,Modena ,,3,8,924,923
954,IT405,IT405,,,,Bologna ,,3,8,925,924
955,IT406,IT406,,,,Ferrara ,,3,8,926,925
956,IT407,IT407,,,,Ravenna ,,3,8,927,926
957,IT408,IT408,,,,Forlì-Cesena,,3,8,928,927
958,IT409,IT409,,,,Rimini,,3,8,929,928
959,IT5,IT5,,CENTRO (I),,,,1,8,930,929
960,IT51,IT51,,,Toscana ,,,2,8,931,930
961,IT511,IT511,,,,Massa-Carrara,,3,8,932,931
962,IT512,IT512,,,,Lucca ,,3,8,933,932
963,IT513,IT513,,,,Pistoia ,,3,8,934,933
964,IT514,IT514,,,,Firenze,,3,8,935,934
965,IT515,IT515,,,,Prato,,3,8,936,935
966,IT516,IT516,,,,Livorno,,3,8,937,936
967,IT517,IT517,,,,Pisa,,3,8,938,937
968,IT518,IT518,,,,Arezzo,,3,8,939,938
969,IT519,IT519,,,,Siena ,,3,8,940,939
970,IT51A,IT51A,,,,Grosseto ,,3,8,941,940
971,IT52,IT52,,,Umbria ,,,2,8,942,941
972,IT521,IT521,,,,Perugia ,,3,8,943,942
973,IT522,IT522,,,,Terni,,3,8,944,943
974,IT53,IT53,,,Marche ,,,2,8,945,944
975,IT531,IT531,,,,Pesaro e Urbino ,,3,8,946,945
976,IT532,IT532,,,,Ancona ,,3,8,947,946
977,IT533,IT533,,,,Macerata ,,3,8,948,947
978,IT534,IT534,,,,Ascoli Piceno ,,3,8,949,948
979,IT6,IT6,,LAZIO,,,,1,8,950,949
980,IT6,IT6,,,Lazio,,,2,8,951,950
981,IT601,IT601,,,,Viterbo ,,3,8,952,951
982,IT602,IT602,,,,Rieti ,,3,8,953,952
983,IT603,IT603,,,,Roma ,,3,8,954,953
984,IT604,IT604,,,,Latina ,,3,8,955,954
985,IT605,IT605,,,,Frosinone ,,3,8,956,955
986,IT7,IT7,,ABRUZZO-MOLISE,,,,1,8,957,956
987,IT71,IT71,,,Abruzzo,,,2,8,958,957
988,IT711,IT711,,,,L'Aquila ,,3,8,959,958
989,IT712,IT712,,,,Teramo ,,3,8,960,959
990,IT713,IT713,,,,Pescara ,,3,8,961,960
991,IT714,IT714,,,,Chieti,,3,8,962,961
992,IT72,IT72,,,Molise,,,2,8,963,962
993,IT721,IT721,,,,Isernia ,,3,8,964,963
994,IT722,IT722,,,,Campobasso ,,3,8,965,964
995,IT8,IT8,,CAMPANIA,,,,1,8,966,965
996,IT8,IT8,,,Campania,,,2,8,967,966
997,IT801,IT801,,,,Caserta ,,3,8,968,967
998,IT802,IT802,,,,Benevento,,3,8,969,968
999,IT803,IT803,,,,Napoli ,,3,8,970,969
1000,IT804,IT804,,,,Avellino ,,3,8,971,970
1001,IT805,IT805,,,,Salerno ,,3,8,972,971
1002,IT9,IT9,,SUD,,,,1,8,973,972
1003,IT91,IT91,,,Puglia ,,,2,8,974,973
1004,IT911,IT911,,,,Foggia ,,3,8,975,974
1005,IT912,IT912,,,,Bari ,,3,8,976,975
1006,IT913,IT913,,,,Taranto ,,3,8,977,976
1007,IT914,IT914,,,,Brindisi ,,3,8,978,977
1008,IT915,IT915,,,,Lecce ,,3,8,979,978
1009,IT92,IT92,,,Basilicata ,,,2,8,980,979
1010,IT921,IT921,,,,Potenza ,,3,8,981,980
1011,IT922,IT922,,,,Matera ,,3,8,982,981
1012,IT93,IT93,,,Calabria ,,,2,8,983,982
1013,IT931,IT931,,,,Cosenza ,,3,8,984,983
1014,IT932,IT932,,,,Crotone,,3,8,985,984
1015,IT933,IT933,,,,Catanzaro ,,3,8,986,985
1016,IT934,IT934,,,,Vibo Valentia,,3,8,987,986
1017,IT935,IT935,,,,Reggio di Calabria ,,3,8,988,987
1018,ITA,ITA,,SICILIA,,,,1,8,989,988
1019,ITA,ITA,,,Sicilia,,,2,8,990,989
1020,ITA01,ITA01,,,,Trapani ,,3,8,991,990
1021,ITA02,ITA02,,,,Palermo,,3,8,992,991
1022,ITA03,ITA03,,,,Messina ,,3,8,993,992
1023,ITA04,ITA04,,,,Agrigento,,3,8,994,993
1024,ITA05,ITA05,,,,Caltanissetta ,,3,8,995,994
1025,ITA06,ITA06,,,,Enna ,,3,8,996,995
1026,ITA07,ITA07,,,,Catania ,,3,8,997,996
1027,ITA08,ITA08,,,,Ragusa,,3,8,998,997
1028,ITA09,ITA09,,,,Siracusa ,,3,8,999,998
1029,ITB,ITB,,SARDEGNA,,,,1,8,1000,999
1030,ITB,ITB,,,Sardegna,,,2,8,1001,1000
1031,ITB01,ITB01,,,,Sassari ,,3,8,1002,1001
1032,ITB02,ITB02,,,,Nuoro ,,3,8,1003,1002
1033,ITB03,ITB03,,,,Oristano ,,3,8,1004,1003
1034,ITB04,ITB04,,,,Cagliari ,,3,8,1005,1004
1035,LU,LU,LUXEMBOURG (GRAND-DUCHÉ),,,,,0,9,1006,1005
1036,LU,LU,,LUXEMBOURG (GRAND-DUCHÉ),,,,1,9,1007,1006
1037,LU,LU,,,Luxembourg (Grand-Duché),,,2,9,1008,1007
1038,LU,LU,,,,Luxembourg (Grand-Duché),,3,9,1009,1008
1039,NL,NL,NEDERLAND ,,,,,0,10,1010,1009
1040,NL1,NL1,,NOORD-NEDERLAND ,,,,1,10,1011,1010
1041,NL11,NL11,,,Groningen ,,,2,10,1012,1011
1042,NL111,NL111,,,,Oost-Groningen ,,3,10,1013,1012
1043,NL112,NL112,,,,Delfzijl en omgeving,,3,10,1014,1013
1044,NL113,NL113,,,,Overig Groningen ,,3,10,1015,1014
1045,NL12,NL12,,,Friesland ,,,2,10,1016,1015
1046,NL121,NL121,,,,Noord-Friesland ,,3,10,1017,1016
1047,NL122,NL122,,,,Zuidwest-Friesland ,,3,10,1018,1017
1048,NL123,NL123,,,,Zuidoost-Friesland ,,3,10,1019,1018
1049,NL13,NL13,,,Drenthe ,,,2,10,1020,1019
1050,NL131,NL131,,,,Noord-Drenthe ,,3,10,1021,1020
1051,NL132,NL132,,,,Zuidoost-Drenthe ,,3,10,1022,1021
1052,NL133,NL133,,,,Zuidwest-Drenthe ,,3,10,1023,1022
1053,NL2,NL2,,OOST-NEDERLAND,,,,1,10,1024,1023
1054,NL21,NL21,,,Overijssel ,,,2,10,1025,1024
1055,NL211,NL211,,,,Noord-Overijssel ,,3,10,1026,1025
1056,NL212,NL212,,,,Zuidwest-Overijssel ,,3,10,1027,1026
1057,NL213,NL213,,,,Twente ,,3,10,1028,1027
1058,NL22,NL22,,,Gelderland ,,,2,10,1029,1028
1059,NL221,NL221,,,,Veluwe ,,3,10,1030,1029
1060,NL222,NL222,,,,Achterhoek ,,3,10,1031,1030
1061,NL223,NL223,,,,Arnhem/Nijmegen ,,3,10,1032,1031
1062,NL224,NL224,,,,Zuidwest-Gelderland ,,3,10,1033,1032
1063,NL23,NL23,,,Flevoland ,,,2,10,1034,1033
1064,NL23,NL23,,,,Flevoland,,3,10,1035,1034
1065,NL3,NL3,,WEST-NEDERLAND,,,,1,10,1036,1035
1066,NL31,NL31,,,Utrecht ,,,2,10,1037,1036
1067,NL31,NL31,,,,Utrecht,,3,10,1038,1037
1068,NL32,NL32,,,Noord-Holland ,,,2,10,1039,1038
1069,NL321,NL321,,,,Kop van Noord-Holland,,3,10,1040,1039
1070,NL322,NL322,,,,Alkmaar en omgeving,,3,10,1041,1040
1071,NL323,NL323,,,,IJmond,,3,10,1042,1041
1072,NL324,NL324,,,,Agglomeratie Haarlem ,,3,10,1043,1042
1073,NL325,NL325,,,,Zaanstreek ,,3,10,1044,1043
1074,NL326,NL326,,,,Groot-Amsterdam ,,3,10,1045,1044
1075,NL327,NL327,,,,Het Gooi en Vechtstreek,,3,10,1046,1045
1076,NL33,NL33,,,Zuid-Holland ,,,2,10,1047,1046
1077,NL331,NL331,,,,Agglomeratie Leiden en Bollenstreek,,3,10,1048,1047
1078,NL332,NL332,,,,Agglomeratie 's-Gravenhage ,,3,10,1049,1048
1079,NL333,NL333,,,,Delft en Westland ,,3,10,1050,1049
1080,NL334,NL334,,,,Oost-Zuid-Holland,,3,10,1051,1050
1081,NL335,NL335,,,,Groot-Rijnmond ,,3,10,1052,1051
1082,NL336,NL336,,,,Zuidoost-Zuid-Holland,,3,10,1053,1052
1083,NL34,NL34,,,Zeeland ,,,2,10,1054,1053
1084,NL341,NL341,,,,Zeeuwsch-Vlaanderen ,,3,10,1055,1054
1085,NL342,NL342,,,,Overig Zeeland ,,3,10,1056,1055
1086,NL4,NL4,,ZUID-NEDERLAND ,,,,1,10,1057,1056
1087,NL41,NL41,,,Noord-Brabant ,,,2,10,1058,1057
1088,NL411,NL411,,,,West-Noord-Brabant,,3,10,1059,1058
1089,NL412,NL412,,,,Midden-Noord-Brabant,,3,10,1060,1059
1090,NL413,NL413,,,,Noordoost-Noord-Brabant,,3,10,1061,1060
1091,NL414,NL414,,,,Zuidoost-Noord-Brabant,,3,10,1062,1061
1092,NL42,NL42,,,Limburg (NL) ,,,2,10,1063,1062
1093,NL421,NL421,,,,Noord-Limburg ,,3,10,1064,1063
1094,NL422,NL422,,,,Midden-Limburg ,,3,10,1065,1064
1095,NL423,NL423,,,,Zuid-Limburg ,,3,10,1066,1065
1096,AT,AT,ÖSTERREICH,,,,,0,11,1067,1066
1097,AT1,AT1,,OSTÖSTERREICH,,,,1,11,1068,1067
1098,AT11,AT11,,,Burgenland,,,2,11,1069,1068
1099,AT111,AT111,,,,Mittelburgenland,,3,11,1070,1069
1100,AT112,AT112,,,,Nordburgenland,,3,11,1071,1070
1101,AT113,AT113,,,,Südburgenland,,3,11,1072,1071
1102,AT12,AT12,,,Niederösterreich,,,2,11,1073,1072
1103,AT121,AT121,,,,Mostviertel-Eisenwurzen,,3,11,1074,1073
1104,AT122,AT122,,,,Niederösterreich-Süd,,3,11,1075,1074
1105,AT123,AT123,,,,Sankt Pölten,,3,11,1076,1075
1106,AT124,AT124,,,,Waldviertel,,3,11,1077,1076
1107,AT125,AT125,,,,Weinviertel,,3,11,1078,1077
1108,AT126,AT126,,,,Wiener Umland/Nordteil,,3,11,1079,1078
1109,AT127,AT127,,,,Wiener Umland/Südteil,,3,11,1080,1079
1110,AT13,AT13,,,Wien,,,2,11,1081,1080
1111,AT13,AT13,,,,Wien,,3,11,1082,1081
1112,AT2,AT2,,SÜDÖSTERREICH,,,,1,11,1083,1082
1113,AT21,AT21,,,Kärnten,,,2,11,1084,1083
1114,AT211,AT211,,,,Klagenfurt-Villach,,3,11,1085,1084
1115,AT212,AT212,,,,Oberkärnten,,3,11,1086,1085
1116,AT213,AT213,,,,Unterkärnten,,3,11,1087,1086
1117,AT22,AT22,,,Steiermark,,,2,11,1088,1087
1118,AT221,AT221,,,,Graz,,3,11,1089,1088
1119,AT222,AT222,,,,Liezen,,3,11,1090,1089
1120,AT223,AT223,,,,Östliche Obersteiermark,,3,11,1091,1090
1121,AT224,AT224,,,,Oststeiermark,,3,11,1092,1091
1122,AT225,AT225,,,,West- und Südsteiermark,,3,11,1093,1092
1123,AT226,AT226,,,,Westliche Obersteiermark,,3,11,1094,1093
1124,AT3,AT3,,WESTÖSTERREICH,,,,1,11,1095,1094
1125,AT31,AT31,,,Oberösterreich,,,2,11,1096,1095
1126,AT311,AT311,,,,Innviertel,,3,11,1097,1096
1127,AT312,AT312,,,,Linz-Wels,,3,11,1098,1097
1128,AT313,AT313,,,,Mühlviertel,,3,11,1099,1098
1129,AT314,AT314,,,,Steyr-Kirchdorf,,3,11,1100,1099
1130,AT315,AT315,,,,Traunviertel,,3,11,1101,1100
1131,AT32,AT32,,,Salzburg,,,2,11,1102,1101
1132,AT321,AT321,,,,Lungau,,3,11,1103,1102
1133,AT322,AT322,,,,Pinzgau-Pongau,,3,11,1104,1103
1134,AT323,AT323,,,,Salzburg und Umgebung,,3,11,1105,1104
1135,AT33,AT33,,,Tirol,,,2,11,1106,1105
1136,AT331,AT331,,,,Außerfern,,3,11,1107,1106
1137,AT332,AT332,,,,Innsbruck,,3,11,1108,1107
1138,AT333,AT333,,,,Osttirol,,3,11,1109,1108
1139,AT334,AT334,,,,Tiroler Oberland,,3,11,1110,1109
1140,AT335,AT335,,,,Tiroler Unterland,,3,11,1111,1110
1141,AT34,AT34,,,Vorarlberg,,,2,11,1112,1111
1142,AT341,AT341,,,,Bludenz-Bregenzer Wald,,3,11,1113,1112
1143,AT342,AT342,,,,Rheintal-Bodenseegebiet,,3,11,1114,1113
1144,PT,PT,PORTUGAL,,,,,0,12,1115,1114
1145,PT1,PT1,,CONTINENTE ,,,,1,12,1116,1115
1146,PT11,PT11,,,Norte ,,,2,12,1117,1116
1147,PT111,PT111,,,,Minho-Lima ,,3,12,1118,1117
1148,PT112,PT112,,,,Cávado ,,3,12,1119,1118
1149,PT113,PT113,,,,Ave ,,3,12,1120,1119
1150,PT114,PT114,,,,Grande Porto ,,3,12,1121,1120
1151,PT115,PT115,,,,Tâmega ,,3,12,1122,1121
1152,PT116,PT116,,,,Entre Douro e Vouga ,,3,12,1123,1122
1153,PT117,PT117,,,,Douro ,,3,12,1124,1123
1154,PT118,PT118,,,,Alto Trás-os-Montes ,,3,12,1125,1124
1155,PT12,PT12,,,Centro (P) ,,,2,12,1126,1125
1156,PT121,PT121,,,,Baixo Vouga ,,3,12,1127,1126
1157,PT122,PT122,,,,Baixo Mondego ,,3,12,1128,1127
1158,PT123,PT123,,,,Pinhal Litoral ,,3,12,1129,1128
1159,PT124,PT124,,,,Pinhal Interior Norte ,,3,12,1130,1129
1160,PT125,PT125,,,,Dâo-Lafôes,,3,12,1131,1130
1161,PT126,PT126,,,,Pinhal Interior Sul,,3,12,1132,1131
1162,PT127,PT127,,,,Serra da Estrela ,,3,12,1133,1132
1163,PT128,PT128,,,,Beira Interior Norte ,,3,12,1134,1133
1164,PT129,PT129,,,,Beira Interior Sul ,,3,12,1135,1134
1165,PT12A,PT12A,,,,Cova da Beira ,,3,12,1136,1135
1166,PT13,PT13,,,Lisboa e Vale do Tejo,,,2,12,1137,1136
1167,PT131,PT131,,,,Oeste,,3,12,1138,1137
1168,PT132,PT132,,,,Grande Lisboa ,,3,12,1139,1138
1169,PT133,PT133,,,,Península de Setúbal ,,3,12,1140,1139
1170,PT134,PT134,,,,Médio Tejo,,3,12,1141,1140
1171,PT135,PT135,,,,Leziria do Tejo,,3,12,1142,1141
1172,PT14,PT14,,,Alentejo ,,,2,12,1143,1142
1173,PT141,PT141,,,,Alentejo Litoral ,,3,12,1144,1143
1174,PT142,PT142,,,,Alto Alentejo ,,3,12,1145,1144
1175,PT143,PT143,,,,Alentejo Central ,,3,12,1146,1145
1176,PT144,PT144,,,,Baixo Alentejo ,,3,12,1147,1146
1177,PT15,PT15,,,Algarve,,,2,12,1148,1147
1178,PT15,PT15,,,,Algarve,,3,12,1149,1148
1179,PT2,PT2,,Região Autónoma dos AÇORES ,,,,1,12,1150,1149
1180,PT2,PT2,,,Região Autónoma dos Açores,,,2,12,1151,1150
1181,PT2,PT2,,,,Região Autónoma dos Açores,,3,12,1152,1151
1182,PT3,PT3,,Região Autónoma da MADEIRA ,,,,1,12,1153,1152
1183,PT3,PT3,,,Região Autónoma da Madeira,,,2,12,1154,1153
1184,PT3,PT3,,,,Região Autónoma da Madeira,,3,12,1155,1154
1185,FI,FI,SUOMI / FINLAND,,,,,0,13,1156,1155
1186,FI1,FI1,,MANNER-SUOMI,,,,1,13,1157,1156
1187,FI13,FI13,,,Itä-Suomi,,,2,13,1168,1157
1188,FI131,FI131,,,,Etelä-Savo,,3,13,1169,1158
1189,FI132,FI132,,,,Pohjois-Savo,,3,13,1170,1159
1190,FI133,FI133,,,,Pohjois-Karjala,,3,13,1171,1160
1191,FI134,FI134,,,,Kainuu,,3,13,1172,1161
1192,FI14,FI14,,,Väli-Suomi,,,2,13,1173,1162
1193,FI141,FI141,,,,Keski-Suomi,,3,13,1174,1163
1194,FI142,FI142,,,,Etelä-Pohjanmaa,,3,13,1175,1164
1195,FI143,FI143,,,,Pohjanmaa,Name change,3,13,1176,1165
1196,FI144,FI144,,,,Keski-Pohjanmaa,,3,13,1177,1166
1197,FI15,FI15,,,Pohjois-Suomi,,,2,13,1178,1167
1198,FI151,FI151,,,,Pohjois-Pohjanmaa,,3,13,1179,1168
1199,FI152,FI152,,,,Lappi,,3,13,1180,1169
1200,FI11, ,,,Uusimaa,,Terminated,2,13,1158,
1201,,FI16,,,Uusimaa,,New region,2,13,,1170
1202,FI11,,,,,Uusimaa,Terminated,3,13,1159,
1203,,FI161,,,,Uusimaa,New region,3,13,,1171
1204,,FI162,,,,Itä-Uusimaa,New region,3,13,,1172
1205,FI12,,,,Etelä-Suomi,,Terminated,2,13,1160,
1206,,FI17,,,Etelä-Suomi,,New region,2,13,,1173
1207,FI121,FI171,,,,Varsinais-Suomi,Code and name change,3,13,1161,1174
1208,FI122, ,,,,Satakunta,Terminated,3,13,1162, 
1209, ,FI172,,,,Satakunta,New region,3,13,,1175
1210,FI123,FI173,,,,Kanta-Häme,Code and name change,3,13,1163,1176
1211,FI124, ,,,,Pirkanmaa,Terminated,3,13,1164, 
1212, ,FI174,,,,Pirkanmaa,New region,3,13,,1177
1213,FI125,,,,,Päijät-Häme,Terminated,3,13,1165, 
1214,,FI175,,,,Päijät-Häme,New region,3,13,,1178
1215,FI126,FI176,,,,Kymenlaakso,Code change,3,13,1166,1179
1216,FI127,FI177,,,,Etelä-Karjala,Code change,3,13,1167,1180
1217,FI2,FI2,,ÅLAND,,,Name change,1,13,1181,1181
1218,FI2,FI2,,,Åland,,Name change,2,13,1182,1182
1219,FI2,FI2,,,,Åland,Name change,3,13,1183,1183
1220,SE,SE,SVERIGE,,,,,0,14,1184,1184
1221,SE,SE,,SVERIGE,,,,1,14,1185,1185
1222,SE01,SE01,,,Stockholm,,,2,14,1186,1186
1223,SE011,SE011,,,,Stockholms län,,3,14,1187,1187
1224,SE02,SE02,,,Östra Mellansverige,,,2,14,1188,1188
1225,SE021,SE021,,,,Uppsala län,,3,14,1189,1189
1226,SE022,SE022,,,,Södermanlands län,,3,14,1190,1190
1227,SE023,SE023,,,,Östergötlands län,,3,14,1191,1191
1228,SE024,SE024,,,,Örebro län,,3,14,1192,1192
1229,SE025,SE025,,,,Västmanlands län,,3,14,1193,1193
1230,SE03,,,,Småland med öarna,,Terminated,2,14,1194,
1231,,SE09,,,Småland med öarna,,New region,2,14,,1207
1232,SE031,,,,,Jönköpings län,Terminated,3,14,1195,
1233,,SE091,,,,Jönköpings län,New region,3,14,,1208
1234,SE032,SE092,,,,Kronobergs län,Code change,3,14,1196,1209
1235,SE033,SE093,,,,Kalmar län,Code change,3,14,1197,1210
1236,SE034,SE094,,,,Gotlands län,Code change,3,14,1198,1211
1237,SE04,SE04,,,Sydsverige,,,2,14,1199,1194
1238,SE041,SE041,,,,Blekinge län,,3,14,1200,1195
1239,SE042,SE044 (part),,,,Malmöhus län,Merged,3,14,1201,
1240,SE043,SE044 (part),,,,Kristianstads län,Merged,3,14,1202,
1241,,SE044,,,,Skåne län,New region,3,14,,1196
1242,SE05,,,,Västsverige,,Terminated,2,14,1203,
1243,,SE0A,,,Västsverige,,New region,2,14,,1212
1244,SE051,SE0A1,,,,Hallands län,Code change,3,14,1204,1213
1245,SE052,,,,,Göteborgs och Bohus län,Merged,3,14,1205,
1246,SE053,,,,,Älvsborgs län,Merged,3,14,1206,
1247,SE054,,,,,Skaraborgs län,Terminated,3,14,1207,
1248,,SE0A2,,,,Västra Götalands län,New region,3,14,,1214
1249,SE06,SE06,,,Norra Mellansverige,,,2,14,1208,1197
1250,SE061,SE061,,,,Värmlands län,,3,14,1209,1198
1251,SE062,SE062,,,,Dalarnas län,Name change,3,14,1210,1199
1252,SE063,SE063,,,,Gävleborgs län,,3,14,1211,1200
1253,SE07,SE07,,,Mellersta Norrland,,,2,14,1212,1201
1254,SE071,SE071,,,,Västernorrlands län,,3,14,1213,1202
1255,SE072,SE072,,,,Jämtlands län,,3,14,1214,1203
1256,SE08,SE08,,,Övre Norrland,,,2,14,1215,1204
1257,SE081,SE081,,,,Västerbottens län,,3,14,1216,1205
1258,SE082,SE082,,,,Norrbottens län,,3,14,1217,1206
1259,UK,UK,UNITED KINGDOM,,,,,0,15,1218,1215
